マス番号,種類,値,テキスト
1,スタート,0,スタート
2,赤,10,10
3,赤,30,30
4,青,10,10
5,赤,10,10
6,指示1,0,サイコロを５回振り、出目×60秒くすぐられる
7,青,30,30
8,紫,3,3マス戻る（戻ったマスの指示に従う）
9,青,30,30
10,赤,10,10
11,青,60,60
12,赤,30,30
13,指示2,0,3分間休憩するか、3分間くすぐられるか選べる。ただし休憩を選んだ場合は、残り時間を20分減らす
14,赤,30,30
15,青,60,60
16,赤,10,10
17,紫,3,3マス戻る（戻ったマスの指示に従う）
18,青,30,30
19,赤,60,60
20,指示3,0,"サイコロを振り、出目によって次の指示に従う。出目１,6：5分間休憩。出目2,3,4,5：指示されたポーズで5分間くすぐられる。ポーズを崩した場合は6マス戻る、戻ったマスの指示に従う。"
21,青,60,60
22,紫,3,3マス戻る（戻ったマスの指示に従う）
23,赤,60,60
24,赤塗,x60,【出目×60秒】くすぐられる
25,青,10,10
26,赤塗,x60,【出目×60秒】くすぐられる
27,赤,60,60
28,指示4,0,サイコロを振り、出目×60秒間くすぐられる。この際、動いたり声を出してはいけない。違反した場合は最初からカウントし直して続ける。
29,紫,5,5マス戻る（戻ったマスの指示に従う）
30,赤,60,60
31,赤塗,x60,【出目×60秒】くすぐられる
32,青,10,10
33,紫,9,9マス戻る（戻ったマスの指示に従う）
34,指示5,0,サイコロを振り、出目×10分間くすぐられる。この際、指示に従って自由に拘束され、さらにくすぐられている間は声を出してはいけない。違反した場合は最初からカウントし直して続ける。
35,赤,∞,∞
36,ゴール,0,ゴール
